,PTFSBD,PTFSFX,PTFSCOM,PTFSIR,PTFSSTK,Unnamed: 6,Unnamed: 7,mkt_rf,smb,hml,rmw,cma,rf
2006-01-01,-23.7%,-8.1%,5.0%,-29.2%,7.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-02-01,-18.3%,-13.4%,-10.1%,-15.9%,-18.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-03-01,-6.6%,-10.4%,-5.9%,4.0%,-0.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-04-01,19.8%,31.8%,22.8%,9.4%,-0.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-05-01,-7.0%,15.7%,-4.6%,15.2%,7.6%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-06-01,-15.0%,-12.6%,-2.0%,-12.6%,-8.4%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-07-01,-17.3%,-11.6%,-23.0%,-0.7%,-10.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-08-01,-9.6%,-8.1%,-6.4%,-4.2%,-21.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-09-01,-3.9%,-20.3%,3.6%,-17.4%,-4.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-10-01,-20.8%,-9.3%,39.6%,-9.7%,1.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-11-01,-10.8%,47.4%,0.0%,-26.1%,-4.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2006-12-01,5.5%,-7.7%,-21.8%,13.8%,1.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-01-01,1.3%,2.6%,6.2%,16.6%,-17.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-02-01,-3.0%,-19.5%,1.3%,-6.1%,9.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-03-01,-12.4%,-1.8%,-8.2%,13.7%,4.1%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-04-01,-13.6%,2.0%,-7.2%,5.6%,9.0%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-05-01,-0.2%,-13.9%,-14.1%,5.3%,4.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-06-01,17.4%,-0.3%,12.7%,-4.5%,-6.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-07-01,-13.1%,20.8%,-3.2%,-1.7%,6.8%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-08-01,-0.8%,-0.4%,8.1%,221.9%,4.9%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-09-01,6.1%,8.6%,33.1%,4.4%,-9.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-10-01,-15.8%,5.0%,11.8%,-30.6%,0.5%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-11-01,3.4%,24.2%,1.2%,19.7%,-19.7%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
2007-12-01,-2.8%,2.6%,-2.2%,-9.2%,-14.3%,,,-6.94,-5.05,-9.77,-1.4,0.09,1.83
